Motivo Teletrabajo,Provincia Contrato (grupo),Finalizado,Provincia Contrato,Contratos,Anio Fecha Inicio Teletrabajo,Canton Contrato,Estado Teletrabajo,Fecha Consulta,Genero,Mes Fecha Inicio Teletrabajo,Modo Ejecucion,Ruc Empresa
Emergente,PICHINCHA,Finalizado,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Masculino,3,Teletrabajo,9.90005E+11
Emergente,GUAYAS,Vigente,GUAYAS,1,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,3,Teletrabajo,9.91246E+11
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Femenino,4,Teletrabajo,9.9247E+11
Habitual,GUAYAS,Vigente,GUAYAS,1,,GUAYAQUIL,Activo,14/11/2022,Masculino,,Teletrabajo,9.91286E+11
Habitual,GUAYAS,Finalizado,GUAYAS,5,2018,GUAYAQUIL,Activo,14/11/2022,Masculino,9,Teletrabajo,9.92472E+11
Emergente,MANABI,Finalizado,MANABI,1,2020,PORTOVIEJO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79217E+12
Emergente,GUAYAS,Finalizado,GUAYAS,9,2020,GUAYAQUIL,Activo,14/11/2022,Femenino,3,Teletrabajo,9.90173E+11
Habitual,GUAYAS,Finalizado,GUAYAS,1,2020,GUAYAQUIL,Activo,14/11/2022,Masculino,6,Teletrabajo,1.79126E+12
Emergente,IMBABURA,Finalizado,IMBABURA,1,2020,IBARRA,Activo,14/11/2022,Masculino,5,Teletrabajo,1.09001E+12
Emergente,PICHINCHA,Vigente,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Femenino,3,Teletrabajo,1.79244E+12
Emergente,GUAYAS,Finalizado,GUAYAS,1,2021,GUAYAQUIL,Activo,14/11/2022,Masculino,2,Teletrabajo,9.92107E+11
Habitual,PICHINCHA,Vigente,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Masculino,7,Teletrabajo,1.79217E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Masculino,6,Teletrabajo,1.79195E+12
Habitual,IMBABURA,Finalizado,IMBABURA,1,2021,IBARRA,Activo,14/11/2022,Femenino,8,Teletrabajo,1.09171E+12
Habitual,MANABI,Vigente,MANABI,1,,MANTA,Activo,14/11/2022,Femenino,,Teletrabajo,1.30596E+12
Habitual,GUAYAS,Finalizado,GUAYAS,1,,GUAYAQUIL,Activo,14/11/2022,Masculino,,Teletrabajo,9.90333E+11
Emergente,SANTA ELENA,Finalizado,SANTA ELENA,1,2020,LA LIBERTAD,Activo,14/11/2022,Masculino,10,Teletrabajo,2.49E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,1,2021,QUITO,Activo,14/11/2022,Femenino,6,Teletrabajo,1.79028E+12
Emergente,LOS RIOS,Vigente,LOS RIOS,1,2020,QUEVEDO,Activo,14/11/2022,Femenino,12,Teletrabajo,1.79122E+12
Emergente,GUAYAS,Vigente,GUAYAS,4,2020,GUAYAQUIL,Activo,14/11/2022,Masculino,3,Teletrabajo,9.90873E+11
Habitual,SANTO DOMINGO DE LOS TS?CHILAS,Vigente,SANTO DOMINGO DE LOS TS?CHILAS,1,2021,SANTO DOMINGO DE LOS TS?CHILAS,Activo,14/11/2022,Masculino,6,Teletrabajo,2.39003E+12
Emergente,PICHINCHA,Finalizado,PICHINCHA,1,2020,QUITO,Activo,14/11/2022,Femenino,11,Teletrabajo,1.79274E+12
Emergente,GUAYAS,Vigente,GUAYAS,59,2020,GUAYAQUIL,Activo,14/11/2022,Masculino,5,Teletrabajo,9.90008E+11
